score_diff,time_remaining_s,minute_of_game,wp,leverage
-3,0,60.0,4.114916350330176e-05,0.00021716340243059198
-3,60,59.0,0.000318944118592652,0.0011573902784640171
-3,120,58.0,0.0006832918688680701,0.0021391733630081143
-3,180,57.0,0.0011845782196356156,0.003318896438201927
-3,240,56.0,0.0018403318631199557,0.0047014588116693675
-3,300,55.0,0.002665401252544256,0.006282264717449969
-3,360,54.0,0.0036724932958161413,0.00805212015398028
-3,420,53.0,0.004872101529408699,0.009998534282065527
-3,480,52.0,0.006272377160280458,0.012106405764345044
-3,540,51.0,0.007879025200249473,0.01435856040116948
-3,600,50.0,0.009695244015011699,0.016736244144441522
-3,660,49.0,0.011721712373769264,0.019219595241606827
-3,720,48.0,0.013956623440971375,0.0217880969716895
-3,780,47.0,0.01639576297482285,0.02442100573637889
-3,840,46.0,0.01903262765985041,0.027097747659075536
-3,900,45.0,0.021858578573224756,0.029798277179526603
-3,960,44.0,0.024863024144905464,0.03250339229977385
-3,1020,43.0,0.02803362658258232,0.03519500267008348
-3,1080,42.0,0.031356525576493086,0.0378563483620409
-3,1140,41.0,0.034816573159423186,0.040472168814890165
-3,1200,40.0,0.03839757385095334,0.04302882296252497
-3,1260,39.0,0.04208252463369343,0.04551436288469627
-3,1320,38.0,0.04585384985949057,0.04791856443298223
-3,1380,37.0,0.04969362682956499,0.05023291913616418
-3,1440,36.0,0.0535837984980284,0.05245059228473095
-3,1500,35.0,0.05750637047887594,0.0545663524389844
-3,1560,34.0,0.06144359026136269,0.056576477720073556
-3,1620,33.0,0.0653781072313593,0.05847864415724733
-3,1680,32.0,0.06929311273590354,0.06027180111205345
-3,1740,31.0,0.07317245999937891,0.06195603841791409
-3,1800,30.0,0.07700076419270609,0.06353244939823091
-3,1860,29.0,0.08076348336675332,0.0650029933925027
-3,1920,28.0,0.08444698128736407,0.0663703608588544
-3,1980,27.0,0.08803857345495322,0.06763784355933639
-3,2040,26.0,0.0915265577623188,0.06880921179269121
-3,2100,25.0,0.09490023134775434,0.06988860013427803
-3,2160,24.0,0.09814989524553043,0.0708804026858709
-3,2220,23.0,0.10126684843165189,0.07178917843610368
-3,2280,22.0,0.10424337281876613,0.07261956698863431
-3,2340,21.0,0.10707271067908558,0.07337621462977767
-3,2400,20.0,0.10974903587634181,0.074063710478155
-3,2460,19.0,0.11226742017442086,0.07468653228181169
-3,2520,18.0,0.1146237957676675,0.07524900129811243
-3,2580,17.0,0.11681491505123576,0.07575524560274344
-3,2640,16.0,0.11883830852348709,0.07620917112026918
-3,2700,15.0,0.12069224158973997,0.07661443964394939
-3,2760,14.0,0.1223756709200866,0.07697445311127492
-3,2820,13.0,0.12388820090536397,0.07729234341872833
-3,2880,12.0,0.12523004065578136,0.07757096709001601
-3,2940,11.0,0.1264019618968868,0.07781290415241869
-3,3000,10.0,0.12740525803764344,0.07802046062262115
-3,3060,9.0,0.12824170461533976,0.07819567405354916
-3,3120,8.0,0.12891352126150749,0.07834032164517492
-3,3180,7.0,0.1294233352814328,0.07845593047316271
-3,3240,6.0,0.12977414689661468,0.07854378943830602
-3,3300,5.0,0.1299692961639164,0.0786049625860316
-3,3360,4.0,0.13001243155641964,0.07864030348816788
-3,3420,3.0,0.12990748016843529,0.07865047041833029
-3,3480,2.0,0.1296586194899133,0.07863594208753724
-3,3540,1.0,0.12927025068308481,0.07859703373796738
-3,3600,0.0,0.1287469732857055,0.0785339134203084
-2,0,60.0,0.0012259755486056392,0.006434633463861917
-2,60,59.0,0.004803554512359709,0.017188517371508956
-2,120,58.0,0.007971879162820668,0.024471677164904025
-2,180,57.0,0.011481390441348648,0.03137501649654145
-2,240,56.0,0.015362810668526933,0.03808276696710724
-2,300,55.0,0.019609388158152226,0.04462176981758607
-2,360,54.0,0.024202767347704744,0.050979226205440625
-2,420,53.0,0.029119081365890156,0.057130790532479686
-2,480,52.0,0.03433123746264836,0.06305013940025078
-2,540,51.0,0.039810103760111716,0.06871284914859335
-2,600,50.0,0.04552528792552688,0.07409807610941338
-2,660,49.0,0.05144572731870239,0.0791892441396892
-2,720,48.0,0.05754017073029412,0.08397422886312268
-2,780,47.0,0.06377758393792946,0.08844526499789931
-2,840,46.0,0.0701274933180479,0.09259869379103207
-2,900,45.0,0.07656027474253096,0.09643461731184419
-2,960,44.0,0.08304739233798919,0.09995650105506867
-2,1020,43.0,0.08956159082782031,0.10317075238615715
-2,1080,42.0,0.09607704504118347,0.10608629398991501
-2,1140,41.0,0.10256947028734348,0.10871414599279175
-2,1200,40.0,0.10901619744706458,0.11106702654190398
-2,1260,39.0,0.11539621673362982,0.11315897770378194
-2,1320,38.0,0.12169019409136711,0.11500502126416867
-2,1380,37.0,0.12788046412473394,0.11662084718998458
-2,1440,36.0,0.13395100329535264,0.11802253605472618
-2,1500,35.0,0.1398873869033663,0.11922631556612202
-2,1560,34.0,0.14567673310034096,0.12024835042574418
-2,1620,33.0,0.1513076368804421,0.12110456405972957
-2,1680,32.0,0.15677009667976502,0.12181049025771758
-2,1740,31.0,0.16205543589314875,0.12238115241615934
-2,1800,30.0,0.1671562213037408,0.1228309678766665
-2,1860,29.0,0.1720661801207223,0.12317367475628328
-2,1920,28.0,0.17678011704047492,0.12342227866255921
-2,1980,27.0,0.18129383248968126,0.12358901675225442
-2,2040,26.0,0.18560404297738117,0.12368533671088078
-2,2100,25.0,0.1897083042775897,0.1237218883858765
-2,2160,24.0,0.19360493798438977,0.12370852598609275
-2,2220,23.0,0.19729296182647474,0.12365431895382761
-2,2280,22.0,0.20077202399634406,0.12356756981426018
-2,2340,21.0,0.20404234163893248,0.12345583750413378
-2,2400,20.0,0.20710464355329222,0.12332596487182312
-2,2460,19.0,0.20996011708700368,0.12318410922091982
-2,2520,18.0,0.21261035914410276,0.12303577493670825
-2,2580,17.0,0.215057331181561,0.12288584738790553
-2,2640,16.0,0.2173033180348302,0.12273862743417877
-2,2700,15.0,0.21935089038792602,0.12259786599307107
-2,2760,14.0,0.2212028706864953,0.12246679822850037
-2,2820,13.0,0.2228623022818216,0.12234817701757986
-2,2880,12.0,0.22433242158863145,0.12224430543408232
-2,2940,11.0,0.22561663303877047,0.12215706805647364
-2,3000,10.0,0.2267184866154273,0.12208796096715915
-2,3060,9.0,0.22764165775784126,0.12203812035854572
-2,3120,8.0,0.2283899294336626,0.12200834970185392
-2,3180,7.0,0.22896717618481113,0.12199914546730428
-2,3240,6.0,0.22937734996236875,0.12201072141038538
-2,3300,5.0,0.22962446757634963,0.12204303145929365
-2,3360,4.0,0.22971259959686466,0.12209579125406672
-2,3420,3.0,0.2296458605539684,0.12216849839927874
-2,3480,2.0,0.22942840029419678,0.12226045149993742
-2,3540,1.0,0.22906439636230405,0.12237076805514333
-2,3600,0.0,0.22855804728692103,0.1224984012865048
-1,0,60.0,0.035321007106373044,0.15998754186082564
-1,60,59.0,0.06805279825633913,0.20277044054682652
-1,120,58.0,0.08629331376467618,0.21777173422779764
-1,180,57.0,0.10213018959330593,0.22744466198986563
-1,240,56.0,0.11663596163519444,0.23409013040950372
-1,300,55.0,0.1302043042115288,0.23866080814263393
-1,360,54.0,0.14302731231784296,0.24168258724201575
-1,420,53.0,0.1552145426306233,0.24349334040501253
-1,480,52.0,0.16683551169283098,0.24433157971345426
-1,540,51.0,0.17793812322249108,0.2443766026216467
-1,600,50.0,0.1885577144827643,0.24376920094524904
-1,660,49.0,0.19872189614613214,0.24262339954747453
-1,720,48.0,0.20845330868925238,0.2410336134061647
-1,780,47.0,0.21777126764965765,0.23907927750559432
-1,840,46.0,0.22669278175062074,0.23682799518343517
-1,900,45.0,0.23523320105145012,0.23433777328818264
-1,960,44.0,0.24340663906644117,0.23165866992431636
-1,1020,43.0,0.25122625290748524,0.22883404989342485
-1,1080,42.0,0.2587044322651884,0.22590156909566533
-1,1140,41.0,0.26585292883690875,0.22289396571824008
-1,1200,40.0,0.2726829463297055,0.21983970960427734
-1,1260,39.0,0.2792052041038208,0.2167635446356728
-1,1320,38.0,0.28542998307037587,0.21368694832390916
-1,1380,37.0,0.2913671595918737,0.21062852581276845
-1,1440,36.0,0.2970262312576579,0.2076043508108229
-1,1500,35.0,0.3024163371594409,0.2046282627707816
-1,1560,34.0,0.30754627445317706,0.20171212740697902
-1,1620,33.0,0.3124245124238275,0.19886606606701662
-1,1680,32.0,0.317059204879717,0.19609865833874662
-1,1740,31.0,0.32145820143502757,0.19341712144122214
-1,1800,30.0,0.3256290580539844,0.19082746932587633
-1,1860,29.0,0.3295790471025809,0.1883346539398457
-1,1920,28.0,0.3333151670657269,0.18594269073466518
-1,1980,27.0,0.3368441520274129,0.1836547702113248
-1,2040,26.0,0.3401724809705511,0.18147335705660478
-1,2100,25.0,0.34330638692575705,0.17940027823143823
-1,2160,24.0,0.3462518659804007,0.1774368012097412
-1,2220,23.0,0.3490146861479175,0.17558370342845137
-1,2280,22.0,0.3516003960905949,0.1738413338912425
-1,2340,21.0,0.3540143336854038,0.17220966776569796
-1,2400,20.0,0.3562616344209101,0.17068835472384253
-1,2460,19.0,0.35834723961316123,0.16927676169663886
-1,2520,18.0,0.36027590442918045,0.16797401064281003
-1,2580,17.0,0.3620522057079808,0.16677901186978972
-1,2640,16.0,0.36368054957057133,0.16569049338877218
-1,2700,15.0,0.3651651788120988,0.1647070267358532
-1,2760,14.0,0.3665101800709563,0.16382704964648342
-1,2820,13.0,0.3677194907712996,0.16304888593026767
-1,2880,12.0,0.3687969058369185,0.16237076285710123
-1,2940,11.0,0.36974608417576715,0.16179082633323633
-1,3000,10.0,0.37057055493568036,0.16130715411680563
-1,3060,9.0,0.37127372353285665,0.1609177672962242
-1,3120,8.0,0.37185887745561425,0.16062064023144668
-1,3180,7.0,0.3723291918466966,0.16041370913702974
-1,3240,6.0,0.3726877348680522,0.16029487946708715
-1,3300,5.0,0.3729374728525422,0.16026203224527713
-1,3360,4.0,0.37308127524745366,0.16031302946782156
-1,3420,3.0,0.37312191935502026,0.16044571869392166
-1,3480,2.0,0.3730620948754008,0.1606579369257824
-1,3540,1.0,0.37290440825773363,0.16094751386950468
-1,3600,0.0,0.3726513868649938,0.16131227465836473
0,0,60.0,0.5220248987850972,0.6897762230103958
0,60,59.0,0.5248792753562649,0.5900121708072672
0,120,58.0,0.5260554344564864,0.5473075729429772
0,180,57.0,0.5269554753054864,0.5145708761509742
0,240,56.0,0.5277125830031861,0.4872216967566202
0,300,55.0,0.5283783461947705,0.4634535001369814
0,360,54.0,0.5289792229324016,0.44232244460176934
0,420,53.0,0.5295309306610182,0.4232570313947677
0,480,52.0,0.5300437102612817,0.4058775566591812
0,540,51.0,0.5305246751393673,0.3899150115727837
0,600,50.0,0.5309790045710221,0.37516960603944155
0,660,49.0,0.5314106085272291,0.3614875013391046
0,720,48.0,0.5318225246945387,0.3487468154958094
0,780,47.0,0.5322171688078589,0.33684873353390454
