team,team_games,timeouts_called,usage_rate
UTA,82,12,0.14634146341463414
MTL,246,33,0.13414634146341464
ANA,246,31,0.12601626016260162
VAN,246,28,0.11382113821138211
NYI,246,28,0.11382113821138211
NJD,246,25,0.1016260162601626
FLA,246,22,0.08943089430894309
WSH,246,20,0.08130081300813008
BOS,246,20,0.08130081300813008
STL,246,19,0.07723577235772358
SJS,246,18,0.07317073170731707
DET,246,17,0.06910569105691057
NSH,246,16,0.06504065040650407
SEA,246,14,0.056910569105691054
MIN,246,14,0.056910569105691054
OTT,246,13,0.052845528455284556
NYR,246,13,0.052845528455284556
EDM,246,12,0.04878048780487805
CGY,246,12,0.04878048780487805
DAL,246,11,0.044715447154471545
ARI,164,7,0.042682926829268296
PIT,246,10,0.04065040650406504
TOR,246,10,0.04065040650406504
WPG,246,10,0.04065040650406504
CHI,246,9,0.036585365853658534
PHI,246,9,0.036585365853658534
TBL,246,9,0.036585365853658534
COL,246,9,0.036585365853658534
BUF,246,6,0.024390243902439025
VGK,246,5,0.02032520325203252
CBJ,246,3,0.012195121951219513
LAK,246,3,0.012195121951219513
CAR,246,0,0.0
